Artist,Song name,Artist_-_SongName.mp3,bpm,Style,Year,Keyword1/Keyword2/.../KeywordN,Sentence/Min_begin:Sec_begin/Min_final:Sec_final
Pipoman,Oh mon Michael J,PIPOMAN_-_OMMJ.mp3,100,Singer,2009,Alexandre/oh mon,oh mon Michael/72/85
A.C.D.C.,T.N.T,ACDC_-_TNT.mp3,126,Rock,1975,T.N.T/dynamite/hoy,T.N.T/54/78
A.C.D.C.,Highway To Hell,ACDC_-_HighwayToHell.mp3,116,Rock,1979,enfer/autoroute/hell/highway,hell/148/183
Baha men,Who let's the dog out,BahaMen_-_WhoLetsTheDogOut.mp3,97,Party,2000,chien/dog/meute,dog/0/13
Blue swede,Hooked on a feeling,BlueSwede_-_HookedOnAFeeling.mp3,98,Pop,1973,hooked/guardians of the galaxy/gardiens de la galaxie,ah/33/40
Raspberries,Go all the way,Raspberries_-_GoAllTheWay.mp3,97,Pop,1972,way/guardians of the galaxy/gardiens de la galaxie,go all the way/87/108
Norman greenbaum,Spirit in the sky,NormanGreenbaum_-_SpiritInTheSky.mp3,96,Pop,1969,sky/guardians of the galaxy/gardiens de la galaxie,spirit/42/61
David bowie,Moonage daydream,DavidBowie_-_MoonageDaydream.mp3,72,Pop,1972,daydream/guardians of the galaxy/gardiens de la galaxie,space invader/0/11
ten C.C,I'm not in love,TenCC_-_ImNotInLove.mp3,133,Pop,1975,not in love/guardians of the galaxy/gardiens de la galaxie,not in love/32/47
The jackson five,I want you back,TheJacksonFive_-_IWantYouBack.mp3,97,Pop,1971,want you back/guardians of the galaxy/gardiens de la galaxie,oh baby/49/68
Redbone,Come and get your love,Redbone_-_ComeAndGetYourLove.mp3,107,Pop,1973,love/guardians of the galaxy/gardiens de la galaxie,love/102/119
Sam Brown,Stop,SamBrown_-_Stop.mp3,92,Singer,1988,stop/brown,stop/73/99
Alain Bashung,Bijou Bijou,AlainBashung_-_BijouBijou.mp3,87,Singer,1979,Alain/Bashung/Bijou, / / 
Alain Bashung,C'est la faute a Dylan,AlainBashung_-_CestLaFauteADylan.mp3,129,Singer,1979,Alain/Bashung/Dylan, / / 
Alain Bashung,Elsass Blues,AlainBashung_-_ElsassBlues.mp3,97,Singer,1979,Alain/Bashung/Blues, / / 
Alain Bashung,Guru tu es mon Fuhrer de vivre,AlainBashung_-_GuruTuEsMonFuhrerDeVivre.mp3,72,Singer,1979,Alain/Bashung/Guru, / / 
Alain Bashung,Je fume pour oublier que tu bois,AlainBashung_-_JeFumePourOublierQueTuBois.mp3,97,Singer,1979,Alain/Bashung/Je fume, / / 
Alain Bashung,Les petits enfants,AlainBashung_-_LesPetitsEnfants.mp3,87,Singer,1979,Alain/Bashung/enfants, / / 
Alain Bashung,Milliard de nuits dans le frigo,AlainBashung_-_MilliardDeNuitsDansLeFrigo.mp3,87,Singer,1979,Alain/Bashung/nuit dans le frigo, / / 
Alain Bashung,Pas question que je perde le feeling,AlainBashung_-_PasQuestionQueJperdeLeFeeling.mp3,94,Singer,1979,Alain/Bashung/Feeling, / / 
Alain Bashung,Squeeze,AlainBashung_-_Squeeze.mp3,81,Singer,1979,Alain/Bashung/Squeeze, / / 
Alain Bashung,Station service,AlainBashung_-_StationService.mp3,81,Singer,1979,Alain/Bashung/station service, / / 
Alain Bashung,Toujours sur la ligne blanche,AlainBashung_-_ToujoursSurLaLigneBlanche.mp3,89,Singer,1979,Alain/Bashung/Ligne blanche, / / 
Alain Bashung,Aficionado,AlainBashung_-_Aficionado.mp3,70,Singer,1981,Alain/Bashung/Aficionado, / / 
Alain Bashung,ça cache quelque chose,AlainBashung_-_CaCacheQuekchose.mp3,104,Singer,1981,Alain/Bashung/cache, / / 
Alain Bashung,Elle se fait rougir toute seule,AlainBashung_-_ElleSfaitRougirTouteSeule.mp3,87,Singer,1981,Alain/Bashung/Rougir, / / 
Alain Bashung,En,AlainBashung_-_En.mp3,84,Singer,1981,Alain/Bashung/En, / / 
Alain Bashung,Fan,AlainBashung_-_Fan.mp3,88,Singer,1981,Alain/Bashung/Fan, / / 
Alain Bashung,Gaby oh Gaby,AlainBashung_-_GabyOhGaby.mp3,87,Singer,1981,Alain/Bashung/Gaby, / / 
Alain Bashung,Idylle au Caire,AlainBashung_-_IdylleAuCaire.mp3,78,Singer,1981,Alain/Bashung/Idylle, / / 
Alain Bashung,Je sors avec ma frangine,AlainBashung_-_JsorsAvecMaFrangine.mp3,71,Singer,1981,Alain/Bashung/Frangine, / / 
Alain Bashung,l'araignée,AlainBashung_-_Laraigne.mp3,97,Singer,1981,Alain/Bashung/araignée, / / 
Alain Bashung,Privé,AlainBashung_-_Prive.mp3,104,Singer,1981,Alain/Bashung/Privé, / / 
Alain Bashung,Rebel,AlainBashung_-_Rebel.mp3,71,Singer,1981,Alain/Bashung/Rebel, / / 
Alain Bashung,Retours,AlainBashung_-_Retours.mp3,75,Singer,1981,Alain/Bashung/Retours, / / 
Alain Bashung,Vertige de l'amour,AlainBashung_-_VertigeDeL'amour.mp3,87,Singer,1981,Alain/Bashung/Vertige, / / 
Alain Bashung,Bistouri scalpel,AlainBashung_-_BistouriScalpel.mp3,102,Singer,1982,Alain/Bashung/bistouri, / / 
Alain Bashung,C'est comment qu'on freine,AlainBashung_-_CestCommentQuonFreine.mp3,87,Singer,1982,Alain/Bashung/freine, / / 
Alain Bashung,Je croise aux hébrides,AlainBashung_-_JcroiseAuxHebrides.mp3,87,Singer,1982,Alain/Bashung/hébrides, / / 
Alain Bashung,J'envisage,AlainBashung_-_Jenvisage.mp3,124,Singer,1982,Alain/Bashung/, / / 
Alain Bashung,Junge Manner,AlainBashung_-_JungeManner.mp3,87,Singer,1982,Alain/Bashung/Junge, / / 
Alain Bashung,Lavabo,AlainBashung_-_Lavabo.mp3,87,Singer,1982,Alain/Bashung/Lavabo, / / 
Alain Bashung,Martin Boude,AlainBashung_-_MartineBoude.mp3,87,Singer,1982,Alain/Bashung/Martin, / / 
Alain Bashung,Scènes de Manager,AlainBashung_-_ScenesDeManager.mp3,87,Singer,1982,Alain/Bashung/Manager, / / 
Alain Bashung,Strip Now,AlainBashung_-_StripNow.mp3,99,Singer,1982,Alain/Bashung/Strip, / / 
Alain Bashung,Trompé d'érection,AlainBashung_-_TrompeDerection.mp3,125,Singer,1982,Alain/Bashung/érection, / / 
Alain Bashung,Volontaire,AlainBashung_-_Volontaire.mp3,121,Singer,1982,Alain/Bashung/Volontaire, / / 
Alain Bashung,Chaque nuit bébé,AlainBashung_-_ChaqueNuitBebe.mp3,87,Singer,1983,Alain/Bashung/Bébé, / / 
Alain Bashung,élégance,AlainBashung_-_Elegance.mp3,87,Singer,1983,Alain/Bashung/élégance, / / 
Alain Bashung,Hi,AlainBashung_-_Hi.mp3,87,Singer,1983,Alain/Bashung/Hi, / / 
Alain Bashung,Horosope,AlainBashung_-_Horoscope.mp3,87,Singer,1983,Alain/Bashung/Horoscope, / / 
Alain Bashung,Imbécile,AlainBashung_-_Imbecile.mp3,87,Singer,1983,Alain/Bashung/Imbécile, / / 
Alain Bashung,Poisson d'avril,AlainBashung_-_PoissonDavril.mp3,87,Singer,1983,Alain/Bashung/Poisson d'avril, / / 
Alain Bashung,Spiele Mich an die wand,AlainBashung_-_SpieleMichAnDieWand.mp3,87,Singer,1983,Alain/Bashung/Spiele Mich, / / 
Alain Bashung,What's in a bird,AlainBashung_-_WhatsInABird.mp3,87,Singer,1983,Alain/Bashung/Bird, / / 
Alain Bashung,Camping Jazz,AlainBashung_-_CampingJazz.mp3,87,Singer,1986,Alain/Bashung/Camping jazz, / / 
Alain Bashung,Chat,AlainBashung_-_Chat.mp3,87,Singer,1986,Alain/Bashung/Chat, / / 
Alain Bashung,Dean Martin,AlainBashung_-_DeanMartin.mp3,87,Singer,1986,Alain/Bashung/Dean Martin, / / 
Alain Bashung,Douane Eddy,AlainBashung_-_DouaneEddy.mp3,87,Singer,1986,Alain/Bashung/Douane Eddy, / / 
Alain Bashung,Les Européennes ,AlainBashung_-_EuropeennesLes.mp3,87,Singer,1986,Alain/Bashung/Européennes, / / 
Alain Bashung,Helvète underground,AlainBashung_-_HelviteUnderground.mp3,87,Singer,1986,Alain/Bashung/Helvète, / / 
Alain Bashung,Herr major,AlainBashung_-_HerrMajor.mp3,87,Singer,1986,Alain/Bashung/Her major, / / 
Alain Bashung,L'arrivée du tour,AlainBashung_-_LarriveeDuTour.mp3,87,Singer,1986,Alain/Bashung/arrivée, / / 
Alain Bashung,Malédiction,AlainBashung_-_Malediction.mp3,87,Singer,1986,Alain/Bashung/Malédiciton, / / 
Alain Bashung,Milady,AlainBashung_-_Milady.mp3,87,Singer,1986,Alain/Bashung/Milady, / / 
Alain Bashung,Rognons 1515,AlainBashung_-_Rognons1515.mp3,87,Singer,1986,Alain/Bashung/Rognons, / / 
Alain Bashung,S.O.S. Amor,AlainBashung_-_SOSAmor.mp3,87,Singer,1986,Alain/Bashung/S.O.S amor, / / 
Alain Bashung,Tu touches pas à mon potes,AlainBashung_-_TuTouchesPasMonPote.mp3,87,Singer,1986,Alain/Bashung/touches pas à mon pote, / / 
Alain Bashung,Alcaline,AlainBashung_-_Alcaline.mp3,87,Singer,1989,Alain/Bashung/Alcaline, / / 
Alain Bashung,Bombez,AlainBashung_-_Bombez.mp3,87,Singer,1989,Alain/Bashung/Bombez, / / 
Alain Bashung,By proxy,AlainBashung_-_ByProxy.mp3,87,Singer,1989,Alain/Bashung/Proxy, / / 
Alain Bashung,Elle fait l'avion,AlainBashung_-_ElleFaitLavion.mp3,87,Singer,1989,Alain/Bashung/avion, / / 
Alain Bashung,étrange été,AlainBashung_-_EtrangeEte.mp3,87,Singer,1989,Alain/Bashung/été, / / 
Alain Bashung,Intrépide malgré la fièvre,AlainBashung_-_IntrepideMalgreLaFievre.mp3,87,Singer,1989,Alain/Bashung/fièvre, / / 
Alain Bashung,Légère éclaircie,AlainBashung_-_LegereEclaircie.mp3,87,Singer,1989,Alain/Bashung/éclaircie, / / 
Alain Bashung,Outrage,AlainBashung_-_Outrage.mp3,87,Singer,1989,Alain/Bashung/Outrage, / / 
Alain Bashung,Pyromanes,AlainBashung_-_Pyromanes.mp3,87,Singer,1989,Alain/Bashung/Pyromanes, / / 
Alain Bashung,Résidences,AlainBashung_-_Residences.mp3,87,Singer,1989,Alain/Bashung/résidences, / / 
Alain Bashung,tu m'as jeté,AlainBashung_-_TuMasJete.mp3,87,Singer,1989,Alain/Bashung/jeté, / / 
Alain Bashung,Blue eyes crying in the rain,AlainBashung_-_BlueEyesCryingInTheRain.mp3,87,Singer,1993,Alain/Bashung/Blue eyes, / / 
Alain Bashung,Happe,AlainBashung_-_Happe.mp3,87,Singer,1991,Alain/Bashung/Happe, / / 
Alain Bashung,J'écume,AlainBashung_-_Jecume.mp3,87,Singer,1991,Alain/Bashung/écume, / / 
Alain Bashung,Kalabougie,AlainBashung_-_Kalabougie.mp3,87,Singer,1991,Alain/Bashung/Kalabougie, / / 
Alain Bashung,Les grands voyageurs,AlainBashung_-_LesGrandsVoyageurs.mp3,87,Singer,1991,Alain/Bashung/voyageurs, / / 
Alain Bashung,Madame rêve,AlainBashung_-_MadameReve.mp3,87,Singer,1991,Alain/Bashung/rêve, / / 
Alain Bashung,Night in white satin,AlainBashung_-_NightInWhiteSatin.mp3,87,Singer,1991,Alain/Bashung/white satin, / / 
Alain Bashung,Osez Joséphine,AlainBashung_-_OsezJosephine.mp3,87,Singer,1991,Alain/Bashung/Joséphine, / / 
Alain Bashung,She belongs to me,AlainBashung_-_SheBelongsToMe.mp3,87,Singer,1991,Alain/Bashung/belongs to me, / / 
Alain Bashung,Volutes,AlainBashung_-_Volutes.mp3,87,Singer,1991,Alain/Bashung/Volutes, / / 
Alain Bashung,We all right,AlainBashung_-_WellAllRight.mp3,87,Singer,1991,Alain/Bashung/we all right, / / 
Alain Bashung,Un âne plane,AlainBashung_-_AnePlaneUn.mp3,87,Singer,1994,Alain/Bashung/âne plane, / / 
Alain Bashung,Après d'âpres hostilités,AlainBashung_-_ApresDapresHostilites.mp3,87,Singer,1994,Alain/Bashung/hostilité, / / 
Alain Bashung,Dance d'ici,AlainBashung_-_DanceDici.mp3,87,Singer,1994,Alain/Bashung/dance d'ici, / / 
Alain Bashung,Elvire,AlainBashung_-_Elvire.mp3,87,Singer,1994,Alain/Bashung/Elvire, / / 
Alain Bashung,J'ai longtemps contemplé,AlainBashung_-_JAiLongtempsContemple.mp3,87,Singer,1994,Alain/Bashung/contemplé, / / 
Alain Bashung,J'avais un pense bête,AlainBashung_-_JAvaisUnPenseBete.mp3,87,Singer,1994,Alain/Bashung/pense bête, / / 
Alain Bashung,Je passe pour une Caravane,AlainBashung_-_JpassePourUneCaravane.mp3,87,Singer,1994,Alain/Bashung/caravane, / / 
Alain Bashung,L'apiculteur,AlainBashung_-_LApiculteur.mp3,87,Singer,1994,Alain/Bashung/Apiculteur, / / 
Alain Bashung,Ma petite entreprise,AlainBashung_-_MaPetiteEntreprise.mp3,87,Singer,1994,Alain/Bashung/petite entreprise, / / 
Alain Bashung,A Ostende,AlainBashung_-_OstendeA.mp3,87,Singer,1994,Alain/Bashung/Ostende, / / 
Alain Bashung,A perte de vue,AlainBashung_-_PerteDeVueA.mp3,87,Singer,1994,Alain/Bashung/perte de vue, / / 
Alain Bashung,Que n'ai-je,AlainBashung_-_QueNaiJe.mp3,87,Singer,1994,Alain/Bashung/que n'ai-je, / / 
Alain Bashung,2043,AlainBashung_-_2043.mp3,87,Singer,1998,Alain/Bashung/2043, / / 
Alain Bashung,Angora,AlainBashung_-_Angora.mp3,87,Singer,1998,Alain/Bashung/Angora, / / 
Alain Bashung,Aucun express,AlainBashung_-_AucunExpress.mp3,87,Singer,1998,Alain/Bashung/Express, / / 
Alain Bashung,Au pavillon des lauriers,AlainBashung_-_AuPavillonDesLauriers.mp3,87,Singer,1998,Alain/Bashung/Lauriers, / / 
Alain Bashung,Dehors,AlainBashung_-_Dehors.mp3,87,Singer,1998,Alain/Bashung/Dehors, / / 
Alain Bashung,Fantaisie militaire,AlainBashung_-_FantaisieMilitaire.mp3,87,Singer,1998,Alain/Bashung/Fantaisie militaire, / / 
Alain Bashung,La nuit je mens,AlainBashung_-_LaNuitJeMens.mp3,87,Singer,1998,Alain/Bashung/La nuit je mens, / / 
Alain Bashung,Malaxe,AlainBashung_-_Malaxe.mp3,87,Singer,1998,Alain/Bashung/Malaxe, / / 
Alain Bashung,Mes prisons,AlainBashung_-_MesPrisons.mp3,87,Singer,1998,Alain/Bashung/Prisons, / / 
Alain Bashung,Ode à la vie,AlainBashung_-_OdeALaVie.mp3,87,Singer,1998,Alain/Bashung/ode à la vie, / / 
Alain Bashung,Samuel Hall,AlainBashung_-_SamuelHall.mp3,87,Singer,1998,Alain/Bashung/Samuel Hall, / / 
Alain Bashung,Sommes nous,AlainBashung_-_SommesNous.mp3,87,Singer,1998,Alain/Bashung/Sommes nous, / / 
Alain Bashung,Dans la foulée,AlainBashung_-_DansLaFoulee.mp3,87,Singer,2002,Alain/Bashung/foulée, / / 
Alain Bashung,Est-ce aimer,AlainBashung_-_EstCeAimer.mp3,87,Singer,2002,Alain/Bashung/est-ce aimer, / / 
Alain Bashung,Faisons envie,AlainBashung_-_FaisonsEnvie.mp3,87,Singer,2002,Alain/Bashung/faisons envie, / / 
Alain Bashung,Faites monter,AlainBashung_-_FaitesMonter.mp3,87,Singer,2002,Alain/Bashung/faites monter, / / 
Alain Bashung,Jamais d'autre que toi,AlainBashung_-_JamaisDautreQueToi.mp3,87,Singer,2002,Alain/Bashung/jamais d'autre que toi, / / 
Alain Bashung,Je me dore,AlainBashung_-_JeMeDore.mp3,87,Singer,2002,Alain/Bashung/dore, / / 
Alain Bashung,La ficelle,AlainBashung_-_LaFicelle.mp3,87,Singer,2002,Alain/Bashung/ficelle, / / 
Alain Bashung,Le dimanche à Tchernobyl,AlainBashung_-_LeDimancheATchernobyl.mp3,87,Singer,2002,Alain/Bashung/Thernobyl, / / 
Alain Bashung,L'imprudence,AlainBashung_-_LImprudence.mp3,87,Singer,2002,Alain/Bashung/imprudence, / / 
Alain Bashung,L'irréel,AlainBashung_-_Lirreel.mp3,87,Singer,2002,Alain/Bashung/irréel, / / 
Alain Bashung,Mes bras,AlainBashung_-_MesBras.mp3,87,Singer,2002,Alain/Bashung/bras, / / 
Alain Bashung,Noir de monde,AlainBashung_-_NoirDeMonde.mp3,87,Singer,2002,Alain/Bashung/noir de monde, / / 
Alain Bashung,Tel,AlainBashung_-_Tel.mp3,87,Singer,2002,Alain/Bashung/Tel, / / 
Alain Bashung,Comme un légo,AlainBashung_-_CommeunLego.mp3,87,Singer,2008,Alain/Bashung/légo, / / 
Alain Bashung,Hier à Sousse,AlainBashung_-_HierASousse.mp3,87,Singer,2008,Alain/Bashung/Sousse, / / 
Alain Bashung,Il voyage en solitaire,AlainBashung_-_Ilvoyageensolitaire.mp3,87,Singer,2008,Alain/Bashung/solitaire, / / 
Alain Bashung,Je t'ai manqué,AlainBashung_-_Jetaimanque.mp3,87,Singer,2008,Alain/Bashung/manqué, / / 
Alain Bashung,Je tuerait la pianiste,AlainBashung_-_JeTueraiLaPianiste.mp3,87,Singer,2008,Alain/Bashung/la pianiste, / / 
Alain Bashung,Le secret des banquises,AlainBashung_-_LeSecretDesBanquises.mp3,87,Singer,2008,Alain/Bashung/banquises, / / 
Alain Bashung,Résidents de la république,AlainBashung_-_ResidentsdelaRepublique.mp3,87,Singer,2008,Alain/Bashung/Résidents, / / 
Alain Bashung,Sur un trapèze,AlainBashung_-_SurUntrapeze.mp3,87,Singer,2008,Alain/Bashung/Trapèze, / / 
Alain Bashung,Suzanne,AlainBashung_-_Suzanne.mp3,87,Singer,2008,Alain/Bashung/Suzanne, / / 
